,tower_name,location_city,deck_height,tower_coordinates,ref_coordinates,ref_url
0,Shanghai Tower,Shanghai,562.0,"[31.235555555555557, 121.50111111111111]",wiki,https://en.wikipedia.org/wiki/Shanghai_Tower
1,Ping An Finance Centre,Shenzhen,562.0,"[22.53638888888889, 114.05055555555555]",wiki,https://en.wikipedia.org/wiki/Ping_An_Finance_Centre
2,Burj Khalifa,Dubai,555.0,"[25.197222222222223, 55.274166666666666]",wiki,https://en.wikipedia.org/wiki/Burj_Khalifa
3,Merdeka 118,Kuala Lumpur,510.0,"[3.1416666666666666, 101.70055555555555]",wiki,https://en.wikipedia.org/wiki/Merdeka_118
4,Canton Tower,Guangzhou,488.0,"[23.10888888888889, 113.31888888888888]",wiki,https://en.wikipedia.org/wiki/Canton_Tower
5,Lotte World Tower,Seoul,486.0,"[37.5125, 127.10277777777777]",wiki,https://en.wikipedia.org/wiki/Lotte_World_Tower
6,Abraj Al Bait,Mecca,486.0,"[21.41888888888889, 39.82638888888889]",wiki,https://en.wikipedia.org/wiki/Abraj_Al_Bait
7,Shanghai World Financial Center,Shanghai,474.0,"[31.2365768, 121.50304055090878]",geo,https://en.wikipedia.org/wiki/Shanghai_World_Financial_Center
8,Burj Khalifa,Dubai,452.0,"[25.197222222222223, 55.274166666666666]",wiki,https://en.wikipedia.org/wiki/Burj_Khalifa
9,Tokyo Skytree,Tokyo,451.2,"[35.71, 139.81083333333333]",wiki,https://en.wikipedia.org/wiki/Tokyo_Skytree
10,Taipei 101,Taipei,449.2,"[25.033611111111114, 121.565]",wiki,https://en.wikipedia.org/wiki/Taipei_101
11,CN Tower,Toronto,446.7,"[43.6426, -79.3871]",wiki,https://en.wikipedia.org/wiki/CN_Tower
12,Willis Tower,Chicago,412.7,"[41.87888888888889, -87.63583333333334]",wiki,https://en.wikipedia.org/wiki/Willis_Tower
13,Sky100,Hong Kong,393.0,"[22.303333333333335, 114.16027777777778]",wiki,https://en.wikipedia.org/wiki/Sky100
14,One World Trade Center,New York City,386.6,"[40.713055555555556, -74.01333333333334]",wiki,https://en.wikipedia.org/wiki/One_World_Trade_Center
15,Landmark 81,Ho Chi Minh City,382.0,"[10.7949426, 106.7220409]",geo,https://en.wikipedia.org/wiki/Landmark_81
16,Petronas Towers,Kuala Lumpur,370.0,"[3.1579678500000004, 101.71120482350457]",geo,https://en.wikipedia.org/wiki/Petronas_Towers
17,Empire State Building,New York City,369.0,"[40.748333333333335, -73.98527777777778]",wiki,https://en.wikipedia.org/wiki/Empire_State_Building
18,Iconic Tower,New Administrative Capital,368.0,"[30.01, 31.695833333333333]",wiki,https://en.wikipedia.org/wiki/Iconic_Tower_(Egypt)
19,Lakhta Center,Saint Petersburg,357.0,"[59.98713888888889, 30.17702777777778]",wiki,https://en.wikipedia.org/wiki/Lakhta_Center
20,Oriental Pearl Tower,Shanghai,351.0,"[31.241666666666667, 121.49472222222222]",wiki,https://en.wikipedia.org/wiki/Oriental_Pearl_Tower
21,Tuntex Sky Tower,Kaohsiung,341.0,"[22.611666666666668, 120.3]",wiki,https://en.wikipedia.org/wiki/Tuntex_Sky_Tower
22,Jin Mao Tower,Shanghai,340.1,"[31.237222222222222, 121.50138888888888]",wiki,https://en.wikipedia.org/wiki/Jin_Mao_Tower
